ID,Year,Latitude,Longitude,Estado,Pais,Author,Publicacao_selecionada,Especies,Interaction type,Interacted with,Family,Regnum,Species as published
68,1990,-22.82008333,-47.11055556,SÃ£o Paulo,Brazil,Mauro Galetti,Predation on squirrel Sciurus aestuans by capuchin monkey Cebus apella. Mammalia 54:152-154.,Guerlinguetus brasiliensis,predated by,sapajus apella,Cebidae,Animalia,Sciurus ingrami
82,2006,-22.75,-45.5,SÃ£o Paulo,Brazil,Jorge Alberto SolÃ³rzano-Filho,DOI 10.1515/MAMM.2006.031,Guerlinguetus brasiliensis,predated by,Leopardus wiedii,Felidae,Animalia,Sciurus ingrami
82,2006,-22.75,-45.5,SÃ£o Paulo,Brazil,Jorge Alberto SolÃ³rzano-Filho,DOI 10.1515/MAMM.2006.031,Guerlinguetus brasiliensis,Mobbing,Leopardus wiedii,Felidae,Animalia,Sciurus ingrami
84,2011,-23.855,-45.4025,SÃ£o Paulo,Brazil,Otavio A.V. Marques,Do pitvipers prey on mammals during daylight?. Herpetology Notes 4: 453-454.,Guerlinguetus brasiliensis,predated by,Bothrops jararacussu,Viperidae,Animalia,Sciurus aestuans
87,1998,-25.92419444,-49.17597222,ParanÃ¡,Brazil,Darci Moraes Barros-Battesti,http://dx.doi.org/10.1590/S0074-02761998000600003,Guerlinguetus brasiliensis,parasited by,Androlaelaps fahrenholzi,Laelapidae,Animalia,Sciurus aestuans
87,1998,-25.92419444,-49.17597222,ParanÃ¡,Brazil,Darci Moraes Barros-Battesti,http://dx.doi.org/10.1590/S0074-02761998000600003,Guerlinguetus brasiliensis,parasited by,Hoplopleura sciuricola,Hoplopleuridae,Animalia,Sciurus aestuans
87,1998,-25.92419444,-49.17597222,ParanÃ¡,Brazil,Darci Moraes Barros-Battesti,http://dx.doi.org/10.1590/S0074-02761998000600003,Guerlinguetus brasiliensis,parasited by,Polygenis occidentalis,Rhopalopsyllidae,Animalia,Sciurus aestuans
88,2002,-23.18333333,-44.2,Rio de Janeiro,Brazil,E. B. Bittencourt,http://dx.doi.org/10.1590/S1519-69842002000300004,Guerlinguetus brasiliensis,parasited by,Amblyomma spp.,Ixodidae,Animalia,Sciurus aestuans
98,2002,-19.42280556,-40.05833333,EspÃ­rito Santo,Brazil,Dely Noronha,http://dx.doi.org/10.1590/S0101-81752002000300032,Guerlinguetus brasiliensis,parasited by,Heligmostrongylus sp.,Heligmonellidae,Animalia,Sciurus aestuans
99,2002,-22.9155,-44.36547222,Rio de Janeiro,Brazil,Dely Noronha,http://dx.doi.org/10.1590/S0101-81752002000300032,Guerlinguetus brasiliensis,parasited by,Subulura sp.,Subuluridae,Animalia,Sciurus aestuans
122,2006,-24.125,-47.95833333,SÃ£o Paulo,Brazil,Beatriz de Mello Beisiegel,http://dx.doi.org/10.1590/S1676-06032006000100003,Guerlinguetus brasiliensis,stole cache from,Cuniculus paca,Cuniculidae,Animalia,Sciurus ingrami
128,2002,3.416666667,-61.66666667,Roraima,Brazil,Kirsten M. Silvius,https://doi.org/10.1017/S0266467402002468,Hadrosciurus igniventris,eat,Bruchidae,Bruchidae,Animalia,Sciurus igniventris
129,2005,-10.23858333,-67.32983333,Acre,Brazil,Lainson R,http://dx.doi.org/10.1051/parasite/2005124305,Hadrosciurus spadiceus,parasited by,Onchocercidae,Onchocercidae,Animalia,Sciurus spadiceus
130,2011,-9.948472222,-67.87611111,Acre,Brazil,Rodrigo OtÃ¡vio Almeida Canizo,http://dx.doi.org/10.1896/044.018.0207,Hadrosciurus spadiceus,repeled by,Cebuella pygmaea,Callitrichidae,Animalia,Sciurus spadiceus
130,2011,-9.948472222,-67.87611111,Acre,Brazil,Rodrigo OtÃ¡vio Almeida Canizo,http://dx.doi.org/10.1896/044.018.0207,Hadrosciurus spadiceus,fight,Cebuella pygmaea,Callitrichidae,Animalia,Sciurus spadiceus
151,2012,-7.839466667,-34.93694444,Pernambuco,Brazil,Filipe Dantas-Torres,doi:10.1017/S0031182011001740,Guerlinguetus brasiliensis,parasited by,Amblyomma fuscum,Ixodidae,Animalia,Guerlinguetus alphonsei
154,2007,-19.83333333,-41.83333333,Minas Gerais,Brazil,Rita de Cassia Bianchi,DOI 10.1002/ajp.20415,Guerlinguetus brasiliensis,predated by,Leopardus pardalis,Felidae,Animalia,Guerlinguetus aestuans
